lspe_id,nama_daerah,date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,"Penyusunan Sop-Ap, Standar Pelayanan Dan Ikm Dinas Kebudayaan Dan Pariwisata Provinsi Sumatera Utara",Services,182000000.0,Complete,"Penyusunan Sop-Ap, Standar Pelayanan Dan Ikm Dinas Kebudayaan Dan Pariwisata Provinsi Sumatera Utara",2016-06-24,182000000.0,Pt Qims Intrasindo,10,1.0
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Pemeliharaan Berkala Jalan Provinsi Jurusan Sp. Jl. Ngumban Surbakti - Flamboyan - Sp. Gatot Subroto Di Kota Medan,Works,8467911000.0,Complete,Pemeliharaan Berkala Jalan Provinsi Jurusan Sp. Jl. Ngumban Surbakti - Flamboyan - Sp. Gatot Subroto Di Kota Medan,2016-06-24,8211625573.12,Pt. Bukit Zaitun,35,0.9697345157642776
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Pemeliharaan Berkala Jalan Provinsi Jurusan Jl. Setia Budi (Sp. Jln. Flamboyan - Sp. Jln. Jamin Ginting) Di Kota Medan,Works,7792683500.0,Complete,Pemeliharaan Berkala Jalan Provinsi Jurusan Jl. Setia Budi (Sp. Jln. Flamboyan - Sp. Jln. Jamin Ginting) Di Kota Medan,2016-06-24,7543469637.78,Pt. Permata Karya Kencana,35,0.968019506730897
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Peningkatan Struktur Jalan Provinsi Jurusan Deli Tua - Tiga Juhar Di Kab. Deli Serdang,Works,11371238000.0,Complete,Peningkatan Struktur Jalan Provinsi Jurusan Deli Tua - Tiga Juhar Di Kab. Deli Serdang,2016-06-24,11142859592.54,Pt.Amarta Jaya Putra,35,0.9799161351244254
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Peningkatan Struktur Jalan Provinsi Jurusan Tiga Juhar - Gunung Meriah Di Kab. Deli Serdang,Works,14202850482.0,Complete,Peningkatan Struktur Jalan Provinsi Jurusan Tiga Juhar - Gunung Meriah Di Kab. Deli Serdang,2016-06-24,12637419578.81,Pt. Natama Karya Jaya,35,0.8897805123574348
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Pembangunan Jembatan Provinsi Sei Kera 1 Pada Ruas Jalan Provinsi Jurusan Deli Tua - Tiga Juhar Di Kab. Deli Serdang,Works,1866163900.0,Complete,Pembangunan Jembatan Provinsi Sei Kera 1 Pada Ruas Jalan Provinsi Jurusan Deli Tua - Tiga Juhar Di Kab. Deli Serdang,2016-06-24,1593533720.14,Cv. Galan,35,0.8539087698245583
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Pembangunan Jembatan Provinsi Lau Batih Pada Ruas Jalan Provinsi Jurusan Tiga Juhar - Gunung Meriah Di Kab. Deli Serdang,Works,1859983500.0,Complete,Pembangunan Jembatan Provinsi Lau Batih Pada Ruas Jalan Provinsi Jurusan Tiga Juhar - Gunung Meriah Di Kab. Deli Serdang,2016-06-24,1673098727.3,Cv.Reymbas Babakan Utama,35,0.8995234244282274
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Penggantian Jembatan Provinsi Sei Galang 3 Pada Ruas Jalan Provinsi Jurusan Tanah Abang - Bts. Sergei Di Kab. Deli Serdang,Works,2912864937.0,Complete,Penggantian Jembatan Provinsi Sei Galang 3 Pada Ruas Jalan Provinsi Jurusan Tanah Abang - Bts. Sergei Di Kab. Deli Serdang,2016-06-24,2714067180.61,Pt. Natama Karya Jaya,35,0.9317518111242246
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Peningkatan Struktur Jalan Provinsi Jurusan Kuala - Timbang Lawang Di Kab. Langkat,Works,19137724900.0,Complete,Peningkatan Struktur Jalan Provinsi Jurusan Kuala - Timbang Lawang Di Kab. Langkat,2016-06-24,17397447751.11,Pt. Bangun Mitra Abadi,35,0.9090656199739814
27,Sumatera Utara,2016-06-24,Pemerintah Daerah Provinsi Sumatera Utara,Peningkatan Struktur Jalan Provinsi Jurusan Bts. Binjai - Kuala Di Kab. Langkat,Works,9638181480.0,Complete,Peningkatan Struktur Jalan Provinsi Jurusan Bts. Binjai - Kuala Di Kab. Langkat,2016-06-24,8785020919.38,Pt. Bangun Mitra Abadi,35,0.9114811686841156
